Date,Close
2/1/2018,39.66
2/2/2018,38.68
2/5/2018,36.88
2/6/2018,37.67
2/7/2018,37.5
2/8/2018,34.98
2/9/2018,35.03
2/12/2018,36.24
2/13/2018,36.01
2/14/2018,36.7
2/15/2018,36.84
2/16/2018,36.73
2/20/2018,36.56
2/21/2018,36.57
2/22/2018,36.33
2/23/2018,37.15
2/26/2018,37.39
2/27/2018,36.81
2/28/2018,36.39
3/1/2018,35.85
3/2/2018,35.93
3/5/2018,36.23
3/6/2018,36.2
3/7/2018,36.3
3/8/2018,36.84
3/9/2018,37.28
3/12/2018,36.98
3/13/2018,36.68
3/14/2018,36.1
3/15/2018,34.67
3/16/2018,35.2
3/19/2018,35.26
3/20/2018,35.4
3/21/2018,35.3
3/22/2018,33.73
3/23/2018,32.51
3/26/2018,33.3
3/27/2018,32.67
3/28/2018,33.11
3/29/2018,33.53
4/2/2018,32.66
4/3/2018,33.43
4/4/2018,33.91
4/5/2018,34.8
4/6/2018,33.81
4/9/2018,33.86
4/10/2018,34.46
4/11/2018,34.24
4/12/2018,34.83
4/13/2018,34.07
4/16/2018,34.47
4/17/2018,34.57
4/18/2018,34.89
4/19/2018,35.35
4/20/2018,35.2
4/23/2018,34.73
4/24/2018,34.35
4/25/2018,33.29
4/26/2018,33.3
4/27/2018,33.11
4/30/2018,33.17
5/1/2018,33.08
5/2/2018,32.93
5/3/2018,32.13
5/4/2018,32.63
5/7/2018,32.72
5/8/2018,33.08
5/9/2018,33.73
5/10/2018,33.9
5/11/2018,34.11
5/14/2018,33.94
5/15/2018,34.21
5/16/2018,34.59
5/17/2018,34.93
5/18/2018,35.44
5/21/2018,35.72
5/22/2018,36.11
5/23/2018,36.12
5/24/2018,35.9
5/25/2018,35.61
5/29/2018,34.47
5/30/2018,35.02
5/31/2018,34.63
6/1/2018,35.04
6/4/2018,35.45
6/5/2018,35
6/6/2018,35.58
6/7/2018,35.55
6/8/2018,35.45
6/11/2018,35.26
6/12/2018,35.3
6/13/2018,34.94
6/14/2018,35.26
6/15/2018,35.22
6/18/2018,35
6/19/2018,34.81
6/20/2018,34.51
6/21/2018,34.22
6/22/2018,34.13
6/25/2018,33.82
6/26/2018,33.47
6/27/2018,33
6/28/2018,33.01
6/29/2018,33.38
7/2/2018,33.84
7/3/2018,33.5
7/5/2018,33.6
7/6/2018,33.7
7/9/2018,34.86
7/10/2018,34.85
7/11/2018,34.8
7/12/2018,32.96
7/13/2018,32.44
7/16/2018,32.56
7/17/2018,32.82
7/18/2018,33.41
7/19/2018,33.24
7/20/2018,32.81
7/23/2018,33.51
7/24/2018,33.82
7/25/2018,33.44
7/26/2018,30
7/27/2018,29.92
7/30/2018,29.51
7/31/2018,28.94
8/1/2018,29.2
8/2/2018,29.69
8/3/2018,29.85
8/6/2018,29.65
8/7/2018,30.09
8/8/2018,30.05
8/9/2018,29.98
8/10/2018,29.41
8/13/2018,29.19
8/14/2018,30.01
8/15/2018,29.86
8/16/2018,30.43
8/17/2018,30.37
8/20/2018,31.07
8/21/2018,31.17
8/22/2018,31.7
8/23/2018,31.27
8/24/2018,31.36
8/27/2018,31.83
8/28/2018,31.82
8/29/2018,31.68
8/30/2018,31.61
8/31/2018,31.67
9/4/2018,31.88
9/5/2018,32.01
9/6/2018,31.8
9/7/2018,31.73
9/10/2018,32.18
9/11/2018,32.44
9/12/2018,32.29
9/13/2018,32.21
9/14/2018,32.59
9/17/2018,32.5
9/18/2018,32.98
9/19/2018,33.39
9/20/2018,33.6
9/21/2018,33.47
9/24/2018,33.04
9/25/2018,32.98
9/26/2018,31.91
9/27/2018,31.57
9/28/2018,31.08
10/1/2018,31.48
10/2/2018,31.34
10/3/2018,31.78
10/4/2018,31.5
10/5/2018,31.31
10/8/2018,31.33
10/9/2018,31.15
10/10/2018,30.52
10/11/2018,29.73
10/12/2018,29.84
10/15/2018,29.73
10/16/2018,30.19
10/17/2018,30.07
10/18/2018,29.64
10/19/2018,31.36
10/22/2018,29.47
10/23/2018,29.58
10/24/2018,28.56
10/25/2018,28.83
10/26/2018,27.98
10/29/2018,28.01
10/30/2018,28.74
10/31/2018,28.88
11/1/2018,29.44
11/2/2018,26.43
11/5/2018,26.72
11/6/2018,26.87
11/7/2018,27.35
11/8/2018,27.48
11/9/2018,27.62
11/12/2018,27.21
11/13/2018,27.65
11/14/2018,26.92
11/15/2018,26.51
11/16/2018,25.91
11/19/2018,25.53
11/20/2018,25.32
11/21/2018,25.66
11/23/2018,25.56
11/26/2018,25.95
11/27/2018,26.08
11/28/2018,26.42
11/29/2018,25.97
11/30/2018,25.98
12/3/2018,25.81
12/4/2018,24.9
12/6/2018,25.14
12/7/2018,25.36
12/10/2018,24.96
12/11/2018,24.4
12/12/2018,24.55
12/13/2018,24.18
12/14/2018,24.1
12/17/2018,23.49
12/18/2018,23.53
12/19/2018,23.2
12/20/2018,22.99
12/21/2018,22.5
12/24/2018,22.17
12/26/2018,23.14
12/27/2018,23.42
12/28/2018,23.5
12/31/2018,23.46
1/2/2019,24.27
1/3/2019,24.09
1/4/2019,25.24
1/7/2019,25.37
1/8/2019,25.42
1/9/2019,25.99
1/10/2019,25.75
1/11/2019,26.02
1/14/2019,25.85
1/15/2019,25.77
1/16/2019,26.38
1/17/2019,26.35
1/18/2019,26.28
1/22/2019,26.55
1/23/2019,29.4
1/24/2019,29.81
1/25/2019,29.79
1/28/2019,29.98
1/29/2019,29.65
1/30/2019,30.07
1/31/2019,30.04
2/1/2019,29.69
2/4/2019,29.72
2/5/2019,29.99
2/6/2019,30.11
2/7/2019,30.11
2/8/2019,29.94
2/11/2019,30.37
2/12/2019,30.44
2/13/2019,30.77
2/14/2019,30.83
2/15/2019,31.75
2/19/2019,31.76
2/20/2019,31.79
2/21/2019,31.78
2/22/2019,31.88
2/25/2019,31.83
2/26/2019,32.01
2/27/2019,32.02
2/28/2019,32.61
3/1/2019,32.46
3/4/2019,32.46
3/5/2019,32.22
3/6/2019,31.89
3/7/2019,31.5
3/8/2019,31.54
3/11/2019,32.02
3/12/2019,32.21
3/13/2019,32.92
3/14/2019,32.84
3/15/2019,33.31
3/18/2019,33.24
3/19/2019,33.08
3/20/2019,32.45
3/21/2019,32.91
3/22/2019,31.83
3/25/2019,31.39
3/26/2019,31.77
3/27/2019,31.63
3/28/2019,31.83
3/29/2019,31.9
4/1/2019,32.58
4/2/2019,32.42
4/3/2019,32.35
4/4/2019,32.5
4/5/2019,32.31
4/8/2019,32.54
4/9/2019,32.27
4/10/2019,32.55
4/11/2019,32.62
4/12/2019,33
4/15/2019,32.95
4/16/2019,33.16
4/17/2019,33.24
4/18/2019,33.34
4/22/2019,33.55
4/23/2019,33.46
4/24/2019,33.53
4/25/2019,33.5
4/26/2019,34.4
4/29/2019,34.41
4/30/2019,34.67
5/1/2019,34.16
5/2/2019,34.15
5/3/2019,34.34
5/6/2019,34.29
5/7/2019,34
5/8/2019,33.82
5/9/2019,34.4
5/10/2019,35.01
5/13/2019,33.99
5/14/2019,34.77
5/15/2019,34.86
5/16/2019,35.24
5/17/2019,34.91
5/20/2019,35
5/21/2019,35.15
5/22/2019,35.24
5/23/2019,34.75
5/24/2019,34.81
5/28/2019,34.6
5/29/2019,34.37
5/30/2019,34.23
5/31/2019,33.63
6/3/2019,33.3
6/4/2019,33.94
6/5/2019,34.07
6/6/2019,34.33
6/7/2019,33.78
6/10/2019,33.32
6/11/2019,34.05
6/12/2019,33.79
6/13/2019,33.98
6/14/2019,33.95
6/17/2019,34.01
6/18/2019,34.44
6/19/2019,33.84
6/20/2019,34.24
6/21/2019,34.31
6/24/2019,33.99
